Source,Target,Type,Weight
Hua Xiyan,Chen Shuqi,undirected,1
Hua Xiyan,Zheng Shu,undirected,1
Hua Xiyan,Sun Long,undirected,1
Hua Xiyan,Chen Ruyan,undirected,1
Hua Xiyan,Li Zai,undirected,1
Hua Xiyan,Jin Xuan,undirected,1
Hua Xiyan,Bian Jingzhao,undirected,1
Hua Xiyan,Xie Jin,undirected,1
Hua Xiyan,Shen Du,undirected,1
Hua Xiyan,Chu Jen,undirected,1
Hua Xiyan,Chu Jen,undirected,1
Hua Xiyan,Chu Jen,undirected,1
Hua Xiyan,Chu Jen,undirected,1
Hua Xiyan,Hu Guan,undirected,1
Hua Xiyan,Wang Fu,undirected,1
Hua Xiyan,Yu Qian,undirected,1
Hua Xiyan,Xie Huan,undirected,1
Hua Xiyan,Guo Chun,undirected,1
Hua Xiyan,Chen Ji,undirected,1
Hua Xiyan,Zhu Bo,undirected,1
Hua Xiyan,Zhu Zhi,undirected,1
Hua Xiyan,Zhu Quan,undirected,1
Hua Xiyan,Shen Can,undirected,1
Hua Xiyan,Dai Jin,undirected,1
Hua Xiyan,Xia Chang,undirected,1
Hua Xiyan,Zhang Yi,undirected,1
Hua Xiyan,Du Qiong,undirected,1
Hua Xiyan,Ming Xuanzong,undirected,1
Allegretto Nuzi,Niccolò da Bologna,undirected,1
Allegretto Nuzi,Dalmasio Scannabecchi,undirected,1
Allegretto Nuzi,Simone dei Crocifissi,undirected,1
Sebald Weinschroeter,Maître Bertram,undirected,1
Sebald Weinschroeter,Maître Francke,undirected,1
Sebald Weinschroeter,Hans von Tübingen,undirected,1
Sebald Weinschroeter,Maître de la Véronique,undirected,1
Sebald Weinschroeter,Lukas Moser,undirected,1
Sebald Weinschroeter,Lukas Moser,undirected,1
Cui Fu,Togoontömör,undirected,1
Cui Fu,Wang Lü,undirected,1
Cui Fu,Wang Yuan,undirected,1
Cui Fu,Zhao Yuan,undirected,1
Cui Fu,Wang Zhenpeng,undirected,1
Cui Fu,Yan Hui,undirected,1
Togoontömör,Wang Lü,undirected,1
Togoontömör,Wang Yuan,undirected,1
Togoontömör,Zhao Yuan,undirected,1
Togoontömör,Wang Zhenpeng,undirected,1
Togoontömör,Yan Hui,undirected,1
Jacopo di Cione,Cecco di Pietro,undirected,1
Jacopo di Cione,Benci di Cione,undirected,1
Jacopo di Cione,Spinello Aretino,undirected,1
Jacopo di Cione,Lippo Dalmasio,undirected,1
Jacopo di Cione,Taddeo di Bartolo,undirected,1
Jacopo di Cione,Taddeo di Bartolo,undirected,1
Jacopo di Cione,Lorenzo Monaco,undirected,1
Jacopo di Cione,Masolino da Panicale,undirected,1
Niccolò da Bologna,Dalmasio Scannabecchi,undirected,1
Niccolò da Bologna,Simone dei Crocifissi,undirected,1
Niccolò da Bologna,Giovanni da Bologna,undirected,1
Niccolò da Bologna,Lippo Dalmasio,undirected,1
Dalmasio Scannabecchi,Simone dei Crocifissi,undirected,1
Dalmasio Scannabecchi,Giovanni da Bologna,undirected,1
Dalmasio Scannabecchi,Lippo Dalmasio,undirected,1
Niccolò da Bologna,Dalmasio Scannabecchi,undirected,1
Niccolò da Bologna,Simone dei Crocifissi,undirected,1
Dalmasio Scannabecchi,Simone dei Crocifissi,undirected,1
Ke Song,Chen Ruzhi,undirected,1
Ke Song,Tang Su,undirected,1
Ke Song,Wang Lü,undirected,1
Ke Song,Čang Jü,undirected,1
Ke Song,Xu Ben,undirected,1
Ke Song,Yao Guang Xiao,undirected,1
Ke Song,Chen Shuqi,undirected,1
Ke Song,Zheng Shu,undirected,1
Ke Song,Sun Long,undirected,1
Ke Song,Chen Ruyan,undirected,1
Ke Song,Li Zai,undirected,1
Ke Song,Jin Xuan,undirected,1
Ke Song,Bian Jingzhao,undirected,1
Ke Song,Xie Jin,undirected,1
Ke Song,Shen Du,undirected,1
Ke Song,Chu Jen,undirected,1
Ke Song,Chu Jen,undirected,1
Ke Song,Chu Jen,undirected,1
Ke Song,Chu Jen,undirected,1
Ke Song,Hu Guan,undirected,1
Ke Song,Wang Fu,undirected,1
Ke Song,Yu Qian,undirected,1
Ke Song,Xie Huan,undirected,1
Ke Song,Guo Chun,undirected,1
Ke Song,Chen Ji,undirected,1
Ke Song,Zhu Bo,undirected,1
Ke Song,Zhu Zhi,undirected,1
Ke Song,Zhu Quan,undirected,1
Ke Song,Shen Can,undirected,1
Ke Song,Dai Jin,undirected,1
Ke Song,Xia Chang,undirected,1
Ke Song,Zhang Yi,undirected,1
Ke Song,Du Qiong,undirected,1
Ke Song,Ming Xuanzong,undirected,1
Chen Ruzhi,Tang Su,undirected,1
Chen Ruzhi,Wang Lü,undirected,1
Chen Ruzhi,Čang Jü,undirected,1
Chen Ruzhi,Xu Ben,undirected,1
Chen Ruzhi,Yao Guang Xiao,undirected,1
Chen Ruzhi,Chen Shuqi,undirected,1
Chen Ruzhi,Zheng Shu,undirected,1
Chen Ruzhi,Sun Long,undirected,1
Chen Ruzhi,Chen Ruyan,undirected,1
Chen Ruzhi,Li Zai,undirected,1
Chen Ruzhi,Jin Xuan,undirected,1
Chen Ruzhi,Bian Jingzhao,undirected,1
Chen Ruzhi,Xie Jin,undirected,1
Chen Ruzhi,Shen Du,undirected,1
Chen Ruzhi,Chu Jen,undirected,1
Chen Ruzhi,Chu Jen,undirected,1
Chen Ruzhi,Chu Jen,undirected,1
Chen Ruzhi,Chu Jen,undirected,1
Chen Ruzhi,Hu Guan,undirected,1
Chen Ruzhi,Wang Fu,undirected,1
Chen Ruzhi,Yu Qian,undirected,1
Chen Ruzhi,Xie Huan,undirected,1
Chen Ruzhi,Guo Chun,undirected,1
Chen Ruzhi,Chen Ji,undirected,1
Chen Ruzhi,Zhu Bo,undirected,1
